t,dt,rad,colat,lat,lon,D,dD,I,dI,F,dF,UID,FID,type
-12000,619.0,6371.2,70.32939999999999,19.6706,258.5713,-10.899999999999977,1.6677301442162773,48.5,1.1050714285714285,38.6,2.0,13128,"b'\xf0\xbf\xe2\x01\xce\x1bJ,\x8ax\xc9=\x11\x82\x17\xfd\xbbpzY\x90\xeef\xb2\xae\xbe)\xb0\xff\x18B\xfc'",arch_data
-12000,100.0,6371.2,70.53,19.47,205.1,,6.238796424480166,23.3,5.7299999999999995,37.2,4.9,3413,"b'\xf0\xbf\xe2\x01\xce\x1bJ,\x8ax\xc9=\x11\x82\x17\xfd\xbbpzY\x90\xeef\xb2\xae\xbe)\xb0\xff\x18B\xfc'",arch_data
-12000,1000.0,6371.2,47.201,42.799,141.322,20.3,6.552032610303298,71.8,2.0464285714285713,37.6,1.9,3467,"b'\xf0\xbf\xe2\x01\xce\x1bJ,\x8ax\xc9=\x11\x82\x17\xfd\xbbpzY\x90\xeef\xb2\xae\xbe)\xb0\xff\x18B\xfc'",arch_data
-11938,163.0,6371.2,61.683,28.317,343.392,1.6,1.7086507870686207,46.0,1.1869285714285713,35.6,3.7,10712,"b'\xf0\xbf\xe2\x01\xce\x1bJ,\x8ax\xc9=\x11\x82\x17\xfd\xbbpzY\x90\xeef\xb2\xae\xbe)\xb0\xff\x18B\xfc'",arch_data
-11900,180.0,6371.2,57.218,32.782,130.3,6.6,5.252298586805594,44.2,3.7654285714285707,,,12470,"b'\xf0\xbf\xe2\x01\xce\x1bJ,\x8ax\xc9=\x11\x82\x17\xfd\xbbpzY\x90\xeef\xb2\xae\xbe)\xb0\xff\x18B\xfc'",arch_data
-11900,180.0,6371.2,57.218,32.782,130.3,,,,,28.8,4.3,12482,"b'\xf0\xbf\xe2\x01\xce\x1bJ,\x8ax\xc9=\x11\x82\x17\xfd\xbbpzY\x90\xeef\xb2\xae\xbe)\xb0\xff\x18B\xfc'",arch_data
-11810,900.0,6371.2,54.85,35.15,138.63,2.1,2.709480593865456,60.1,1.350642857142857,36.2,2.8,3533,"b'\xf0\xbf\xe2\x01\xce\x1bJ,\x8ax\xc9=\x11\x82\x17\xfd\xbbpzY\x90\xeef\xb2\xae\xbe)\xb0\xff\x18B\xfc'",arch_data
-11770,100.0,6371.2,70.6,19.4,246.5,,,,,38.3,1.1,6848,"b'\xf0\xbf\xe2\x01\xce\x1bJ,\x8ax\xc9=\x11\x82\x17\xfd\xbbpzY\x90\xeef\xb2\xae\xbe)\xb0\xff\x18B\xfc'",arch_data
-11727,100.0,6371.2,70.517,19.483,205.1,,,,,15.72,1.81,1262,"b'\xf0\xbf\xe2\x01\xce\x1bJ,\x8ax\xc9=\x11\x82\x17\xfd\xbbpzY\x90\xeef\xb2\xae\xbe)\xb0\xff\x18B\xfc'",arch_data
-11500,100.0,6371.2,128.21,-38.21,176.366,13.7,4.446045360875511,-61.4,2.128285714285714,,,8285,"b'\xf0\xbf\xe2\x01\xce\x1bJ,\x8ax\xc9=\x11\x82\x17\xfd\xbbpzY\x90\xeef\xb2\xae\xbe)\xb0\xff\x18B\xfc'",arch_data
-11500,100.0,6371.2,46.0,44.0,238.3,-19.30000000000001,4.528202082698694,66.0,1.8417857142857141,,,5311,"b'\xf0\xbf\xe2\x01\xce\x1bJ,\x8ax\xc9=\x11\x82\x17\xfd\xbbpzY\x90\xeef\xb2\xae\xbe)\xb0\xff\x18B\xfc'",arch_data
-11500,100.0,6371.2,46.2,43.8,238.3,-2.1000000000000227,5.517519078287958,70.5,1.8417857142857141,,,5312,"b'\xf0\xbf\xe2\x01\xce\x1bJ,\x8ax\xc9=\x11\x82\x17\xfd\xbbpzY\x90\xeef\xb2\xae\xbe)\xb0\xff\x18B\xfc'",arch_data
-11400,100.0,6371.2,70.53,19.47,205.1,,1.9731092161977364,29.4,1.7189999999999999,29.8,2.7,3414,"b'\xf0\xbf\xe2\x01\xce\x1bJ,\x8ax\xc9=\x11\x82\x17\xfd\xbbpzY\x90\xeef\xb2\xae\xbe)\xb0\xff\x18B\xfc'",arch_data
-11388,100.0,6371.2,70.517,19.483,205.1,,,,,20.04,6.43,1263,"b'\xf0\xbf\xe2\x01\xce\x1bJ,\x8ax\xc9=\x11\x82\x17\xfd\xbbpzY\x90\xeef\xb2\xae\xbe)\xb0\xff\x18B\xfc'",arch_data
-11055,132.0,6371.2,61.692,28.308,343.433,-4.9,6.212314649479536,57.3,3.3561428571428564,44.0,6.0,10711,"b'\xf0\xbf\xe2\x01\xce\x1bJ,\x8ax\xc9=\x11\x82\x17\xfd\xbbpzY\x90\xeef\xb2\xae\xbe)\xb0\xff\x18B\xfc'",arch_data
-11050,340.0,6371.2,46.8,43.2,246.6,-17.69999999999999,4.528202082698694,66.0,1.8417857142857141,,,5310,"b'\xf0\xbf\xe2\x01\xce\x1bJ,\x8ax\xc9=\x11\x82\x17\xfd\xbbpzY\x90\xeef\xb2\xae\xbe)\xb0\xff\x18B\xfc'",arch_data
-11050,3000.0,6371.2,57.223,32.777,130.317,,,,,27.1,3.4,12481,"b'\xf0\xbf\xe2\x01\xce\x1bJ,\x8ax\xc9=\x11\x82\x17\xfd\xbbpzY\x90\xeef\xb2\xae\xbe)\xb0\xff\x18B\xfc'",arch_data
-11048,100.0,6371.2,70.517,19.483,205.1,,0.3595415021926684,24.4,0.3274285714285714,18.0,2.6,3307,"b'\xf0\xbf\xe2\x01\xce\x1bJ,\x8ax\xc9=\x11\x82\x17\xfd\xbbpzY\x90\xeef\xb2\xae\xbe)\xb0\xff\x18B\xfc'",arch_data
-11048,100.0,6371.2,70.517,19.483,205.1,,,,,15.09,5.8,1264,"b'\xf0\xbf\xe2\x01\xce\x1bJ,\x8ax\xc9=\x11\x82\x17\xfd\xbbpzY\x90\xeef\xb2\xae\xbe)\xb0\xff\x18B\xfc'",arch_data
-10960,270.0,6371.2,48.3,41.7,238.5,15.0,3.6396498511998905,59.6,1.8417857142857141,,,5309,"b'\xf0\xbf\xe2\x01\xce\x1bJ,\x8ax\xc9=\x11\x82\x17\xfd\xbbpzY\x90\xeef\xb2\xae\xbe)\xb0\xff\x18B\xfc'",arch_data
-10880,410.0,6371.2,48.5,41.5,238.4,18.5,3.4467626396493585,57.7,1.8417857142857141,,,5308,"b'\xf0\xbf\xe2\x01\xce\x1bJ,\x8ax\xc9=\x11\x82\x17\xfd\xbbpzY\x90\xeef\xb2\xae\xbe)\xb0\xff\x18B\xfc'",arch_data
-10870,700.0,6371.2,46.6,43.4,246.7,-3.6999999999999886,3.372604102839049,56.9,1.8417857142857141,,,5307,"b'\xf0\xbf\xe2\x01\xce\x1bJ,\x8ax\xc9=\x11\x82\x17\xfd\xbbpzY\x90\xeef\xb2\xae\xbe)\xb0\xff\x18B\xfc'",arch_data
-10850,100.0,6371.2,48.5,41.5,238.3,19.8,3.6075041875413825,59.3,1.8417857142857141,,,5305,"b'\xf0\xbf\xe2\x01\xce\x1bJ,\x8ax\xc9=\x11\x82\x17\xfd\xbbpzY\x90\xeef\xb2\xae\xbe)\xb0\xff\x18B\xfc'",arch_data
-10800,100.0,6371.2,70.53,19.47,205.1,,1.2861858683289773,27.0,1.146,24.6,8.25,3415,"b'\xf0\xbf\xe2\x01\xce\x1bJ,\x8ax\xc9=\x11\x82\x17\xfd\xbbpzY\x90\xeef\xb2\xae\xbe)\xb0\xff\x18B\xfc'",arch_data
-10799,57.0,6371.2,70.9,19.1,204.6,-16.19999999999999,1.5627470037188527,30.2,1.350642857142857,20.6,2.53,3230,"b'\xf0\xbf\xe2\x01\xce\x1bJ,\x8ax\xc9=\x11\x82\x17\xfd\xbbpzY\x90\xeef\xb2\xae\xbe)\xb0\xff\x18B\xfc'",arch_data
-10780,400.0,6371.2,48.5,41.5,238.3,19.7,3.475596828793882,58.0,1.8417857142857141,,,5306,"b'\xf0\xbf\xe2\x01\xce\x1bJ,\x8ax\xc9=\x11\x82\x17\xfd\xbbpzY\x90\xeef\xb2\xae\xbe)\xb0\xff\x18B\xfc'",arch_data
-10750,100.0,6371.2,48.5,41.5,238.4,-26.19999999999999,3.618145120020856,59.4,1.8417857142857141,,,5303,"b'\xf0\xbf\xe2\x01\xce\x1bJ,\x8ax\xc9=\x11\x82\x17\xfd\xbbpzY\x90\xeef\xb2\xae\xbe)\xb0\xff\x18B\xfc'",arch_data
-10750,100.0,6371.2,48.6,41.4,238.4,-17.5,3.740246940862703,60.5,1.8417857142857141,,,5304,"b'\xf0\xbf\xe2\x01\xce\x1bJ,\x8ax\xc9=\x11\x82\x17\xfd\xbbpzY\x90\xeef\xb2\xae\xbe)\xb0\xff\x18B\xfc'",arch_data
-10713,100.0,6371.2,70.517,19.483,205.1,,3.68068559829812,17.0,3.5198571428571426,30.2,3.3,3308,"b'\xf0\xbf\xe2\x01\xce\x1bJ,\x8ax\xc9=\x11\x82\x17\xfd\xbbpzY\x90\xeef\xb2\xae\xbe)\xb0\xff\x18B\xfc'",arch_data
-10713,100.0,6371.2,70.517,19.483,205.1,,,,,24.92,5.31,1265,"b'\xf0\xbf\xe2\x01\xce\x1bJ,\x8ax\xc9=\x11\x82\x17\xfd\xbbpzY\x90\xeef\xb2\xae\xbe)\xb0\xff\x18B\xfc'",arch_data
-10652,100.0,6371.2,72.6,17.4,246.8,,,,,38.2,4.6,6864,"b'\xf0\xbf\xe2\x01\xce\x1bJ,\x8ax\xc9=\x11\x82\x17\xfd\xbbpzY\x90\xeef\xb2\xae\xbe)\xb0\xff\x18B\xfc'",arch_data
-10650,650.0,6371.2,70.992,19.008,261.015,5.0,2.396725505868543,17.0,2.292,,,13157,"b'\xf0\xbf\xe2\x01\xce\x1bJ,\x8ax\xc9=\x11\x82\x17\xfd\xbbpzY\x90\xeef\xb2\xae\xbe)\xb0\xff\x18B\xfc'",arch_data
-10650,100.0,6371.2,36.0,54.0,107.5,,,,,60.9,6.0,2233,"b'\xf0\xbf\xe2\x01\xce\x1bJ,\x8ax\xc9=\x11\x82\x17\xfd\xbbpzY\x90\xeef\xb2\xae\xbe)\xb0\xff\x18B\xfc'",arch_data
-10565,615.0,6371.2,62.053,27.947,344.555,-6.6,2.1408376576810517,48.0,1.4324999999999999,29.3,1.8,10734,"b'\xf0\xbf\xe2\x01\xce\x1bJ,\x8ax\xc9=\x11\x82\x17\xfd\xbbpzY\x90\xeef\xb2\xae\xbe)\xb0\xff\x18B\xfc'",arch_data
-10500,300.0,6371.2,35.6,54.4,116.5,,,,,56.0,5.0,11319,"b'\xf0\xbf\xe2\x01\xce\x1bJ,\x8ax\xc9=\x11\x82\x17\xfd\xbbpzY\x90\xeef\xb2\xae\xbe)\xb0\xff\x18B\xfc'",arch_data
-10500,100.0,6371.2,70.53,19.47,205.1,,2.0492369794886027,-3.0,2.0464285714285713,38.3,3.2,3416,"b'\xf0\xbf\xe2\x01\xce\x1bJ,\x8ax\xc9=\x11\x82\x17\xfd\xbbpzY\x90\xeef\xb2\xae\xbe)\xb0\xff\x18B\xfc'",arch_data
-10469,282.0,6371.2,69.3101,20.6899,203.7193,13.5,2.4257280585915573,40.6,1.8417857142857141,,,7657,"b'\xf0\xbf\xe2\x01\xce\x1bJ,\x8ax\xc9=\x11\x82\x17\xfd\xbbpzY\x90\xeef\xb2\xae\xbe)\xb0\xff\x18B\xfc'",arch_data
-10439,100.0,6371.2,70.3,19.7,246.4,,,,,44.2,6.8,6834,"b'\xf0\xbf\xe2\x01\xce\x1bJ,\x8ax\xc9=\x11\x82\x17\xfd\xbbpzY\x90\xeef\xb2\xae\xbe)\xb0\xff\x18B\xfc'",arch_data
-10426,100.0,6371.2,70.517,19.483,205.1,,,,,22.22,1.58,1266,"b'\xf0\xbf\xe2\x01\xce\x1bJ,\x8ax\xc9=\x11\x82\x17\xfd\xbbpzY\x90\xeef\xb2\xae\xbe)\xb0\xff\x18B\xfc'",arch_data
-10378,231.0,6371.2,69.3185,20.6815,203.7325,9.6,2.337259619689032,38.0,1.8417857142857141,,,7656,"b'\xf0\xbf\xe2\x01\xce\x1bJ,\x8ax\xc9=\x11\x82\x17\xfd\xbbpzY\x90\xeef\xb2\xae\xbe)\xb0\xff\x18B\xfc'",arch_data
-10370,480.0,6371.2,48.5,41.5,238.3,15.3,3.505014419954721,58.3,1.8417857142857141,,,5302,"b'\xf0\xbf\xe2\x01\xce\x1bJ,\x8ax\xc9=\x11\x82\x17\xfd\xbbpzY\x90\xeef\xb2\xae\xbe)\xb0\xff\x18B\xfc'",arch_data
-10362,256.0,6371.2,70.88,19.12,260.81,18.0,1.763431375521236,17.9,1.6780714285714282,70.3,2.0,13127,"b'\xf0\xbf\xe2\x01\xce\x1bJ,\x8ax\xc9=\x11\x82\x17\xfd\xbbpzY\x90\xeef\xb2\xae\xbe)\xb0\xff\x18B\xfc'",arch_data
-10350,200.0,6371.2,36.0,54.0,107.5,,,,,58.2,6.0,2234,"b'\xf0\xbf\xe2\x01\xce\x1bJ,\x8ax\xc9=\x11\x82\x17\xfd\xbbpzY\x90\xeef\xb2\xae\xbe)\xb0\xff\x18B\xfc'",arch_data
-10252,572.0,6371.2,70.369,19.631,204.049,-0.30000000000001137,2.013160684193183,5.0,2.0055,16.98,8.25,553,"b'\xf0\xbf\xe2\x01\xce\x1bJ,\x8ax\xc9=\x11\x82\x17\xfd\xbbpzY\x90\xeef\xb2\xae\xbe)\xb0\xff\x18B\xfc'",arch_data
-10216,100.0,6371.2,70.3,19.7,246.4,,,,,51.0,3.8,6828,"b'\xf0\xbf\xe2\x01\xce\x1bJ,\x8ax\xc9=\x11\x82\x17\xfd\xbbpzY\x90\xeef\xb2\xae\xbe)\xb0\xff\x18B\xfc'",arch_data
-10200,100.0,6371.2,70.53,19.47,205.1,,8.054530312627119,15.1,7.776428571428571,43.6,8.25,3417,"b'\xf0\xbf\xe2\x01\xce\x1bJ,\x8ax\xc9=\x11\x82\x17\xfd\xbbpzY\x90\xeef\xb2\xae\xbe)\xb0\xff\x18B\xfc'",arch_data
-10140,100.0,6371.2,70.517,19.483,205.1,,,,,16.32,2.15,1267,"b'\xf0\xbf\xe2\x01\xce\x1bJ,\x8ax\xc9=\x11\x82\x17\xfd\xbbpzY\x90\xeef\xb2\xae\xbe)\xb0\xff\x18B\xfc'",arch_data
-10123,309.0,6371.2,69.3276,20.6724,203.5773,11.3,2.24566420984347,34.9,1.8417857142857141,,,7655,"b'\xf0\xbf\xe2\x01\xce\x1bJ,\x8ax\xc9=\x11\x82\x17\xfd\xbbpzY\x90\xeef\xb2\xae\xbe)\xb0\xff\x18B\xfc'",arch_data
-10111,655.0,6371.2,70.9,19.1,204.44,3.6,0.8677725022511075,31.9,0.7367142857142857,41.4,8.4,2422,"b'\xf0\xbf\xe2\x01\xce\x1bJ,\x8ax\xc9=\x11\x82\x17\xfd\xbbpzY\x90\xeef\xb2\xae\xbe)\xb0\xff\x18B\xfc'",arch_data
-10000,100.0,6371.2,73.2,16.8,254.55,,,,,55.1,1.5,8081,"b'\xf0\xbf\xe2\x01\xce\x1bJ,\x8ax\xc9=\x11\x82\x17\xfd\xbbpzY\x90\xeef\xb2\xae\xbe)\xb0\xff\x18B\xfc'",arch_data
-10000,830.0,6371.2,46.8,43.2,246.5,13.3,3.545174127709231,58.7,1.8417857142857141,,,5301,"b'\xf0\xbf\xe2\x01\xce\x1bJ,\x8ax\xc9=\x11\x82\x17\xfd\xbbpzY\x90\xeef\xb2\xae\xbe)\xb0\xff\x18B\xfc'",arch_data
-9980,100.0,6371.2,48.2,41.8,238.4,19.0,4.029302268196935,62.8,1.8417857142857141,,,5299,"b'\xf0\xbf\xe2\x01\xce\x1bJ,\x8ax\xc9=\x11\x82\x17\xfd\xbbpzY\x90\xeef\xb2\xae\xbe)\xb0\xff\x18B\xfc'",arch_data
-9980,780.0,6371.2,48.4,41.6,238.4,19.7,3.884900909026135,61.7,1.8417857142857141,,,5300,"b'\xf0\xbf\xe2\x01\xce\x1bJ,\x8ax\xc9=\x11\x82\x17\xfd\xbbpzY\x90\xeef\xb2\xae\xbe)\xb0\xff\x18B\xfc'",arch_data
-9950,2200.0,6371.2,129.2908,-39.2908,175.5216,,,,1.637142857142857,39.3,4.1,12452,"b'\xf0\xbf\xe2\x01\xce\x1bJ,\x8ax\xc9=\x11\x82\x17\xfd\xbbpzY\x90\xeef\xb2\xae\xbe)\xb0\xff\x18B\xfc'",arch_data
-9950,1200.0,6371.2,44.25,45.75,3.0,29.8,2.125377553097199,49.1,1.3915714285714285,29.6,3.9,3510,"b'\xf0\xbf\xe2\x01\xce\x1bJ,\x8ax\xc9=\x11\x82\x17\xfd\xbbpzY\x90\xeef\xb2\xae\xbe)\xb0\xff\x18B\xfc'",arch_data
-9900,100.0,6371.2,70.53,19.47,205.1,,4.381114900816323,20.9,4.0928571428571425,44.5,8.7,3418,"b'\xf0\xbf\xe2\x01\xce\x1bJ,\x8ax\xc9=\x11\x82\x17\xfd\xbbpzY\x90\xeef\xb2\xae\xbe)\xb0\xff\x18B\xfc'",arch_data
-9853,100.0,6371.2,70.517,19.483,205.1,,,,,10.63,8.25,1268,"b'\xf0\xbf\xe2\x01\xce\x1bJ,\x8ax\xc9=\x11\x82\x17\xfd\xbbpzY\x90\xeef\xb2\xae\xbe)\xb0\xff\x18B\xfc'",arch_data
-9750,1230.0,6371.2,47.0,43.0,245.7,-2.5,3.251704508561292,55.5,1.8417857142857141,,,5298,"b'\xf0\xbf\xe2\x01\xce\x1bJ,\x8ax\xc9=\x11\x82\x17\xfd\xbbpzY\x90\xeef\xb2\xae\xbe)\xb0\xff\x18B\xfc'",arch_data
-9719,257.0,6371.2,51.5,38.5,-27.2,-17.3,9.242458923785748,57.6,4.952357142857142,,,11101,"b'\xf0\xbf\xe2\x01\xce\x1bJ,\x8ax\xc9=\x11\x82\x17\xfd\xbbpzY\x90\xeef\xb2\xae\xbe)\xb0\xff\x18B\xfc'",arch_data
-9650,1700.0,6371.2,44.1667,45.8333,2.8597,-5.6,2.6611640729263053,59.5,1.350642857142857,28.0,2.8,11861,"b'\xf0\xbf\xe2\x01\xce\x1bJ,\x8ax\xc9=\x11\x82\x17\xfd\xbbpzY\x90\xeef\xb2\xae\xbe)\xb0\xff\x18B\xfc'",arch_data
-9650,800.0,6371.2,44.25,45.75,3.0,-8.800000000000011,1.5100947002153873,60.8,0.7367142857142857,32.7,2.4,3511,"b'\xf0\xbf\xe2\x01\xce\x1bJ,\x8ax\xc9=\x11\x82\x17\xfd\xbbpzY\x90\xeef\xb2\xae\xbe)\xb0\xff\x18B\xfc'",arch_data
-9567,100.0,6371.2,70.517,19.483,205.1,,,,,21.16,0.16,1269,"b'\xf0\xbf\xe2\x01\xce\x1bJ,\x8ax\xc9=\x11\x82\x17\xfd\xbbpzY\x90\xeef\xb2\xae\xbe)\xb0\xff\x18B\xfc'",arch_data
-9550,1500.0,6371.2,43.931,46.069,237.7953,-26.0,14.424956028501732,74.7,3.8063571428571428,,,10489,"b'\xf0\xbf\xe2\x01\xce\x1bJ,\x8ax\xc9=\x11\x82\x17\xfd\xbbpzY\x90\xeef\xb2\xae\xbe)\xb0\xff\x18B\xfc'",arch_data
-9500,100.0,6371.2,70.53,19.47,205.1,,4.655747942707852,18.3,4.420285714285714,33.1,8.25,3419,"b'\xf0\xbf\xe2\x01\xce\x1bJ,\x8ax\xc9=\x11\x82\x17\xfd\xbbpzY\x90\xeef\xb2\xae\xbe)\xb0\xff\x18B\xfc'",arch_data
-9400,100.0,6371.2,70.53,19.47,205.1,,4.532423108019675,29.9,3.929142857142857,33.1,3.3,3420,"b'\xf0\xbf\xe2\x01\xce\x1bJ,\x8ax\xc9=\x11\x82\x17\xfd\xbbpzY\x90\xeef\xb2\xae\xbe)\xb0\xff\x18B\xfc'",arch_data
-9250,250.0,6371.2,35.0,55.0,105.0,,,,,51.4,4.5,11318,"b'\xf0\xbf\xe2\x01\xce\x1bJ,\x8ax\xc9=\x11\x82\x17\xfd\xbbpzY\x90\xeef\xb2\xae\xbe)\xb0\xff\x18B\xfc'",arch_data
-9220,480.0,6371.2,48.6,41.4,237.9,3.9,3.2110554017921435,55.0,1.8417857142857141,,,5296,"b'\xf0\xbf\xe2\x01\xce\x1bJ,\x8ax\xc9=\x11\x82\x17\xfd\xbbpzY\x90\xeef\xb2\xae\xbe)\xb0\xff\x18B\xfc'",arch_data
-9220,100.0,6371.2,48.5,41.5,237.8,1.0,2.978267643376384,51.8,1.8417857142857141,,,5297,"b'\xf0\xbf\xe2\x01\xce\x1bJ,\x8ax\xc9=\x11\x82\x17\xfd\xbbpzY\x90\xeef\xb2\xae\xbe)\xb0\xff\x18B\xfc'",arch_data
-9200,115.0,6371.2,128.7,-38.7,176.03,6.1,9.673675339861125,-69.7,3.3561428571428564,64.3,3.0,11177,"b'\xf0\xbf\xe2\x01\xce\x1bJ,\x8ax\xc9=\x11\x82\x17\xfd\xbbpzY\x90\xeef\xb2\xae\xbe)\xb0\xff\x18B\xfc'",arch_data
-9060,100.0,6371.2,70.3,19.7,246.4,,,,,44.8,6.1,6824,"b'\xf0\xbf\xe2\x01\xce\x1bJ,\x8ax\xc9=\x11\x82\x17\xfd\xbbpzY\x90\xeef\xb2\xae\xbe)\xb0\xff\x18B\xfc'",arch_data
-9000,100.0,6371.2,128.165,-38.165,176.519,2.8,3.6382485481495275,-53.4,2.1692142857142853,,,8283,"b'\xf0\xbf\xe2\x01\xce\x1bJ,\x8ax\xc9=\x11\x82\x17\xfd\xbbpzY\x90\xeef\xb2\xae\xbe)\xb0\xff\x18B\xfc'",arch_data
-9000,100.0,6371.2,128.208,-38.208,176.542,9.7,2.784327443138306,-46.3,1.923642857142857,,,8284,"b'\xf0\xbf\xe2\x01\xce\x1bJ,\x8ax\xc9=\x11\x82\x17\xfd\xbbpzY\x90\xeef\xb2\xae\xbe)\xb0\xff\x18B\xfc'",arch_data
-8994,100.0,6371.2,70.517,19.483,205.1,,,,,20.56,2.2,1270,"b'\xf0\xbf\xe2\x01\xce\x1bJ,\x8ax\xc9=\x11\x82\x17\xfd\xbbpzY\x90\xeef\xb2\xae\xbe)\xb0\xff\x18B\xfc'",arch_data
-8950,1200.0,6371.2,44.25,45.75,3.0,-33.80000000000001,2.535562413843077,66.2,1.0232142857142856,37.2,3.8,3512,"b'\xf0\xbf\xe2\x01\xce\x1bJ,\x8ax\xc9=\x11\x82\x17\xfd\xbbpzY\x90\xeef\xb2\xae\xbe)\xb0\xff\x18B\xfc'",arch_data
-8932,306.0,6371.2,70.349,19.651,-155.136,,,,,16.8,2.4,12190,"b'\xf0\xbf\xe2\x01\xce\x1bJ,\x8ax\xc9=\x11\x82\x17\xfd\xbbpzY\x90\xeef\xb2\xae\xbe)\xb0\xff\x18B\xfc'",arch_data
-8908,268.0,6371.2,69.1789,20.8211,203.9025,11.4,1.9949797783274743,22.6,1.8417857142857141,,,7654,"b'\xf0\xbf\xe2\x01\xce\x1bJ,\x8ax\xc9=\x11\x82\x17\xfd\xbbpzY\x90\xeef\xb2\xae\xbe)\xb0\xff\x18B\xfc'",arch_data
-8869,397.0,6371.2,70.58,19.42,204.66,3.0,1.1315012664959205,33.7,0.9413571428571427,39.9,4.9,2423,"b'\xf0\xbf\xe2\x01\xce\x1bJ,\x8ax\xc9=\x11\x82\x17\xfd\xbbpzY\x90\xeef\xb2\xae\xbe)\xb0\xff\x18B\xfc'",arch_data
-8850,600.0,6371.2,70.88,19.12,260.75,0.0,3.1991587680352676,31.0,2.7422142857142857,,,13156,"b'\xf0\xbf\xe2\x01\xce\x1bJ,\x8ax\xc9=\x11\x82\x17\xfd\xbbpzY\x90\xeef\xb2\xae\xbe)\xb0\xff\x18B\xfc'",arch_data
-8850,600.0,6371.2,70.82,19.18,260.83,10.4,1.6691481201584497,17.0,1.5962142857142856,25.9,8.8,3496,"b'\xf0\xbf\xe2\x01\xce\x1bJ,\x8ax\xc9=\x11\x82\x17\xfd\xbbpzY\x90\xeef\xb2\xae\xbe)\xb0\xff\x18B\xfc'",arch_data
-8850,600.0,6371.2,70.85,19.15,260.79,-5.399999999999977,2.501143623394737,15.1,2.4147857142857143,,,11979,"b'\xf0\xbf\xe2\x01\xce\x1bJ,\x8ax\xc9=\x11\x82\x17\xfd\xbbpzY\x90\xeef\xb2\xae\xbe)\xb0\xff\x18B\xfc'",arch_data
-8850,600.0,6371.2,70.86,19.14,260.83,-8.199999999999989,3.310585561384032,12.4,3.233357142857143,54.1,25.9,2771,"b'\xf0\xbf\xe2\x01\xce\x1bJ,\x8ax\xc9=\x11\x82\x17\xfd\xbbpzY\x90\xeef\xb2\xae\xbe)\xb0\xff\x18B\xfc'",arch_data
-8800,100.0,6371.2,70.53,19.47,205.1,,6.756692251264813,32.0,5.7299999999999995,43.1,5.6,3421,"b'\xf0\xbf\xe2\x01\xce\x1bJ,\x8ax\xc9=\x11\x82\x17\xfd\xbbpzY\x90\xeef\xb2\xae\xbe)\xb0\xff\x18B\xfc'",arch_data
-8750,100.0,6371.2,48.5,41.5,237.7,8.9,3.293650013893755,56.0,1.8417857142857141,,,5295,"b'\xf0\xbf\xe2\x01\xce\x1bJ,\x8ax\xc9=\x11\x82\x17\xfd\xbbpzY\x90\xeef\xb2\xae\xbe)\xb0\xff\x18B\xfc'",arch_data
-8707,100.0,6371.2,70.517,19.483,205.1,,3.1415695503938426,30.7,2.701285714285714,38.3,3.5,3309,"b'\xf0\xbf\xe2\x01\xce\x1bJ,\x8ax\xc9=\x11\x82\x17\xfd\xbbpzY\x90\xeef\xb2\xae\xbe)\xb0\xff\x18B\xfc'",arch_data
-8707,100.0,6371.2,70.517,19.483,205.1,,,,,28.25,0.82,1271,"b'\xf0\xbf\xe2\x01\xce\x1bJ,\x8ax\xc9=\x11\x82\x17\xfd\xbbpzY\x90\xeef\xb2\xae\xbe)\xb0\xff\x18B\xfc'",arch_data
-8690,590.0,6371.2,48.7,41.3,237.6,10.1,4.156861814598492,63.7,1.8417857142857141,,,5294,"b'\xf0\xbf\xe2\x01\xce\x1bJ,\x8ax\xc9=\x11\x82\x17\xfd\xbbpzY\x90\xeef\xb2\xae\xbe)\xb0\xff\x18B\xfc'",arch_data
-8550,100.0,6371.2,24.0,66.0,343.5,-10.600000000000023,2.0416253109872176,72.5,0.6139285714285714,34.3,1.7,3335,"b'\xf0\xbf\xe2\x01\xce\x1bJ,\x8ax\xc9=\x11\x82\x17\xfd\xbbpzY\x90\xeef\xb2\xae\xbe)\xb0\xff\x18B\xfc'",arch_data
-8550,100.0,6371.2,24.0,66.0,343.4,33.9,9.833161663716321,77.5,2.128285714285714,32.0,8.25,3339,"b'\xf0\xbf\xe2\x01\xce\x1bJ,\x8ax\xc9=\x11\x82\x17\xfd\xbbpzY\x90\xeef\xb2\xae\xbe)\xb0\xff\x18B\xfc'",arch_data
-8550,100.0,6371.2,24.0,66.0,343.5,7.9,3.3348158086657973,70.2,1.1296285714285712,,,12319,"b'\xf0\xbf\xe2\x01\xce\x1bJ,\x8ax\xc9=\x11\x82\x17\xfd\xbbpzY\x90\xeef\xb2\xae\xbe)\xb0\xff\x18B\xfc'",arch_data
-8550,100.0,6371.2,24.0,66.0,343.4,-6.300000000000011,4.97990814741468,68.8,1.800857142857143,,,12320,"b'\xf0\xbf\xe2\x01\xce\x1bJ,\x8ax\xc9=\x11\x82\x17\xfd\xbbpzY\x90\xeef\xb2\xae\xbe)\xb0\xff\x18B\xfc'",arch_data
-8550,670.0,6371.2,48.6,41.4,237.6,5.8,3.5149527750673597,58.4,1.8417857142857141,,,5293,"b'\xf0\xbf\xe2\x01\xce\x1bJ,\x8ax\xc9=\x11\x82\x17\xfd\xbbpzY\x90\xeef\xb2\xae\xbe)\xb0\xff\x18B\xfc'",arch_data
