Generated using GEOMAGIAv3 on Feb/29/2024
LocationCode,EnvironID,CoreID,Lat[deg.],Lon[deg.],SedRate[cm/ka],SpecimenID,CoreDepth[cm],CompDepth[cm],Age[yr.BP],AgeCalib,DirID,MinAFDemag[mT],MaxAFDemag[mT],DecRaw[deg.],IncRaw[deg.],MAD[deg.],DecAdj[deg.],IncAdj[deg.],DecAdjID,IncAdjID,NRM_ARM,Sigma[NRM_ARM],Sigma[NRM_ARM]ID,NRM_IRM,Sigma[NRM_IRM],Sigma[NRM_IRM]ID,NRM_k,Sigma[NRM_k],Sigma[NRM_k]ID,VDM_VADM,Sigma[VDM_VADM],Sigma[VDM_VADM]ID,RPIprefID,Susc,Factor,Unit,NRM_RPI,Factor,Unit,NRM_RPI_Demag_Min[mT],NRM_RPI_Demag_Max[mT],NRM_RM,Factor,Unit,ARM_RPI,Factor,Unit,ARM_RPI_Demag_Min[mT],ARM_RPI_Demag_Max[mT],ARM_RM,Factor,Unit,IRM_RPI,Factor,Unit,IRM_RPI_Demag_Min[mT],IRM_RPI_Demag_Max[mT],IRM_RM,Factor,Unit,bIRM_RM,Factor,Unit,IRM_B[T],bIRM_B[T],HIRM,Factor,Unit,S-ratio,S-ratioID,MDF_NRM[mT],MDF_ARM[mT],MDF_IRM[mT],Mr,Ms,Factor,Unit,Hc,Hcr,Factor,Unit,MineralID,DatingMethodID,AgeDepthModelID,NotesID,ReferenceGroupID,SourceID,UploadDate,Uploader,UID
FUR,2,P2,59.3833,12.0800, 38,2, 37.80,-999.00,   877,Y,2,40.000000,40.000000,129.60,71.30,999.00,-0.40,999.00,101;104,999,1.34440,999.00000,999,999.00000,999.00000,999,999.00000,999.00000,999,999.00000,999.00000,999,102,     0.45000,E-6,m^3/kg,    52.46000,E-3,Am-1,40.000000,40.000000,    86.80000,E-3,Am-1,    39.02000,E-3,Am-1,40.000000,40.000000,   246.17000,E-3,Am-1,   999.00000,999,999,999.000000,999.000000,    18.33070,E-3,Am^2/kg,   999.00000,999,999,1.0,NA,   999.00000,999,999,   999.00000,NA,999.0,999.0,999.0,999.0000000000,999.0000000000,999,999,999.0000000000,999.0000000000,999,999,101,102;108;119,109,101,57,103,11/07/2014,AN,FUR-C00011
FUR,2,P2,59.3833,12.0800, 38,2, 41.00,-999.00,   951,Y,2,40.000000,40.000000,129.90,69.60,999.00,0.20,999.00,101;104,999,1.39130,999.00000,999,999.00000,999.00000,999,999.00000,999.00000,999,999.00000,999.00000,999,102,     0.41071,E-6,m^3/kg,    51.77000,E-3,Am-1,40.000000,40.000000,    85.59000,E-3,Am-1,    37.21000,E-3,Am-1,40.000000,40.000000,   248.78000,E-3,Am-1,   999.00000,999,999,999.000000,999.000000,    17.79710,E-3,Am^2/kg,   999.00000,999,999,1.0,NA,   999.00000,999,999,   999.00000,NA,999.0,999.0,999.0,999.0000000000,999.0000000000,999,999,999.0000000000,999.0000000000,999,999,101,102;108;119,109,101,57,103,11/07/2014,AN,FUR-C00012
FUR,2,P2,59.3833,12.0800, 38,2, 44.00,-999.00,  1019,Y,2,40.000000,40.000000,119.60,73.80,999.00,-9.90,999.00,101;104,999,1.34400,999.00000,999,999.00000,999.00000,999,999.00000,999.00000,999,999.00000,999.00000,999,102,     0.40678,E-6,m^3/kg,    54.31000,E-3,Am-1,40.000000,40.000000,    91.46000,E-3,Am-1,    40.41000,E-3,Am-1,40.000000,40.000000,   249.57000,E-3,Am-1,   999.00000,999,999,999.000000,999.000000,    17.04750,E-3,Am^2/kg,   999.00000,999,999,1.0,NA,   999.00000,999,999,   999.00000,NA,999.0,999.0,999.0,999.0000000000,999.0000000000,999,999,999.0000000000,999.0000000000,999,999,101,102;108;119,109,101,57,103,11/07/2014,AN,FUR-C00013
FUR,2,P2,59.3833,12.0800, 38,2, 47.00,-999.00,  1088,Y,2,40.000000,40.000000,133.80,73.50,999.00,4.50,999.00,101;104,999,1.31250,999.00000,999,999.00000,999.00000,999,999.00000,999.00000,999,999.00000,999.00000,999,102,     0.35385,E-6,m^3/kg,    54.43000,E-3,Am-1,40.000000,40.000000,    93.35000,E-3,Am-1,    41.47000,E-3,Am-1,40.000000,40.000000,   236.49000,E-3,Am-1,   999.00000,999,999,999.000000,999.000000,    15.27650,E-3,Am^2/kg,   999.00000,999,999,1.0,NA,   999.00000,999,999,   999.00000,NA,999.0,999.0,999.0,999.0000000000,999.0000000000,999,999,999.0000000000,999.0000000000,999,999,101,102;108;119,109,101,57,103,11/07/2014,AN,FUR-C00014
FUR,2,P2,59.3833,12.0800, 38,2, 50.00,-999.00,  1156,Y,2,40.000000,40.000000,135.10,73.90,999.00,6.00,999.00,101;104,999,1.43390,999.00000,999,999.00000,999.00000,999,999.00000,999.00000,999,999.00000,999.00000,999,102,     0.35088,E-6,m^3/kg,    53.11000,E-3,Am-1,40.000000,40.000000,    89.60000,E-3,Am-1,    37.04000,E-3,Am-1,40.000000,40.000000,   234.47000,E-3,Am-1,   999.00000,999,999,999.000000,999.000000,    15.18400,E-3,Am^2/kg,   999.00000,999,999,1.0,NA,   999.00000,999,999,   999.00000,NA,999.0,999.0,999.0,999.0000000000,999.0000000000,999,999,999.0000000000,999.0000000000,999,999,101,102;108;119,109,101,57,103,11/07/2014,AN,FUR-C00015
FUR,2,P2,59.3833,12.0800, 38,2, 52.80,-999.00,  1220,Y,2,40.000000,40.000000,134.50,76.00,999.00,5.60,999.00,101;104,999,1.39360,999.00000,999,999.00000,999.00000,999,999.00000,999.00000,999,999.00000,999.00000,999,102,     0.42188,E-6,m^3/kg,    46.06000,E-3,Am-1,40.000000,40.000000,    75.11000,E-3,Am-1,    33.05000,E-3,Am-1,40.000000,40.000000,   189.18000,E-3,Am-1,   999.00000,999,999,999.000000,999.000000,    13.93130,E-3,Am^2/kg,   999.00000,999,999,1.0,NA,   999.00000,999,999,   999.00000,NA,999.0,999.0,999.0,999.0000000000,999.0000000000,999,999,999.0000000000,999.0000000000,999,999,101,102;108;119,109,101,57,103,11/07/2014,AN,FUR-C00016
FUR,2,P2,59.3833,12.0800, 38,2, 55.60,-999.00,  1283,Y,2,40.000000,40.000000,134.80,76.10,999.00,6.00,999.00,101;104,999,1.46080,999.00000,999,999.00000,999.00000,999,999.00000,999.00000,999,999.00000,999.00000,999,102,     0.34848,E-6,m^3/kg,    46.63000,E-3,Am-1,40.000000,40.000000,    78.12000,E-3,Am-1,    31.92000,E-3,Am-1,40.000000,40.000000,   182.25000,E-3,Am-1,   999.00000,999,999,999.000000,999.000000,    13.37720,E-3,Am^2/kg,   999.00000,999,999,1.0,NA,   999.00000,999,999,   999.00000,NA,999.0,999.0,999.0,999.0000000000,999.0000000000,999,999,999.0000000000,999.0000000000,999,999,101,102;108;119,109,101,57,103,11/07/2014,AN,FUR-C00017
FUR,2,P2,59.3833,12.0800, 38,2, 58.70,-999.00,  1353,Y,2,40.000000,40.000000,135.90,75.40,999.00,7.30,999.00,101;104,999,1.49500,999.00000,999,999.00000,999.00000,999,999.00000,999.00000,999,999.00000,999.00000,999,102,     0.39344,E-6,m^3/kg,    46.30000,E-3,Am-1,40.000000,40.000000,    77.38000,E-3,Am-1,    30.97000,E-3,Am-1,40.000000,40.000000,   186.49000,E-3,Am-1,   999.00000,999,999,999.000000,999.000000,    13.73950,E-3,Am^2/kg,   999.00000,999,999,1.0,NA,   999.00000,999,999,   999.00000,NA,999.0,999.0,999.0,999.0000000000,999.0000000000,999,999,999.0000000000,999.0000000000,999,999,101,102;108;119,109,101,57,103,11/07/2014,AN,FUR-C00018
FUR,2,P2,59.3833,12.0800, 38,2, 61.70,-999.00,  1421,Y,2,40.000000,40.000000,129.80,78.50,999.00,1.40,999.00,101;104,999,1.50790,999.00000,999,999.00000,999.00000,999,999.00000,999.00000,999,999.00000,999.00000,999,102,     0.27692,E-6,m^3/kg,    43.67000,E-3,Am-1,40.000000,40.000000,    72.58000,E-3,Am-1,    28.96000,E-3,Am-1,40.000000,40.000000,   160.46000,E-3,Am-1,   999.00000,999,999,999.000000,999.000000,    13.42270,E-3,Am^2/kg,   999.00000,999,999,1.0,NA,   999.00000,999,999,   999.00000,NA,999.0,999.0,999.0,999.0000000000,999.0000000000,999,999,999.0000000000,999.0000000000,999,999,101,102;108;119,109,101,57,103,11/07/2014,AN,FUR-C00019
FUR,2,P2,59.3833,12.0800, 38,2, 64.70,-999.00,  1488,Y,2,40.000000,40.000000,122.60,77.80,999.00,-5.60,999.00,101;104,999,1.44370,999.00000,999,999.00000,999.00000,999,999.00000,999.00000,999,999.00000,999.00000,999,102,     0.31884,E-6,m^3/kg,    47.80000,E-3,Am-1,40.000000,40.000000,    81.05000,E-3,Am-1,    33.11000,E-3,Am-1,40.000000,40.000000,   174.35000,E-3,Am-1,   999.00000,999,999,999.000000,999.000000,    12.94500,E-3,Am^2/kg,   999.00000,999,999,1.0,NA,   999.00000,999,999,   999.00000,NA,999.0,999.0,999.0,999.0000000000,999.0000000000,999,999,999.0000000000,999.0000000000,999,999,101,102;108;119,109,101,57,103,11/07/2014,AN,FUR-C00020
FUR,2,P2,59.3833,12.0800, 38,2, 67.60,-999.00,  1553,Y,2,40.000000,40.000000,134.50,78.10,999.00,6.50,999.00,101;104,999,1.43400,999.00000,999,999.00000,999.00000,999,999.00000,999.00000,999,999.00000,999.00000,999,102,     0.30137,E-6,m^3/kg,    44.97000,E-3,Am-1,40.000000,40.000000,    73.71000,E-3,Am-1,    31.36000,E-3,Am-1,40.000000,40.000000,   157.06000,E-3,Am-1,   999.00000,999,999,999.000000,999.000000,    11.57830,E-3,Am^2/kg,   999.00000,999,999,1.0,NA,   999.00000,999,999,   999.00000,NA,999.0,999.0,999.0,999.0000000000,999.0000000000,999,999,999.0000000000,999.0000000000,999,999,101,102;108;119,109,101,57,103,11/07/2014,AN,FUR-C00021
FUR,2,P2,59.3833,12.0800, 38,2, 70.60,-999.00,  1620,Y,2,40.000000,40.000000,128.70,77.10,999.00,0.90,999.00,101;104,999,1.41010,999.00000,999,999.00000,999.00000,999,999.00000,999.00000,999,999.00000,999.00000,999,102,     0.30303,E-6,m^3/kg,    42.26000,E-3,Am-1,40.000000,40.000000,    67.72000,E-3,Am-1,    29.97000,E-3,Am-1,40.000000,40.000000,   163.35000,E-3,Am-1,   999.00000,999,999,999.000000,999.000000,    12.27000,E-3,Am^2/kg,   999.00000,999,999,1.0,NA,   999.00000,999,999,   999.00000,NA,999.0,999.0,999.0,999.0000000000,999.0000000000,999,999,999.0000000000,999.0000000000,999,999,101,102;108;119,109,101,57,103,11/07/2014,AN,FUR-C00022
FUR,2,P2,59.3833,12.0800, 38,2, 73.50,-999.00,  1685,Y,2,40.000000,40.000000,109.90,79.90,999.00,-17.70,999.00,101;104,999,1.42180,999.00000,999,999.00000,999.00000,999,999.00000,999.00000,999,999.00000,999.00000,999,102,     0.27119,E-6,m^3/kg,    43.01000,E-3,Am-1,40.000000,40.000000,    48.34000,E-3,Am-1,    30.25000,E-3,Am-1,40.000000,40.000000,   179.99000,E-3,Am-1,   999.00000,999,999,999.000000,999.000000,    13.55490,E-3,Am^2/kg,   999.00000,999,999,1.0,NA,   999.00000,999,999,   999.00000,NA,999.0,999.0,999.0,999.0000000000,999.0000000000,999,999,999.0000000000,999.0000000000,999,999,101,102;108;119,109,101,57,103,11/07/2014,AN,FUR-C00023
FUR,2,P2,59.3833,12.0800, 38,2, 76.60,-999.00,  1755,Y,2,40.000000,40.000000,132.50,78.50,999.00,5.10,999.00,101;104,999,1.48980,999.00000,999,999.00000,999.00000,999,999.00000,999.00000,999,999.00000,999.00000,999,102,     0.27941,E-6,m^3/kg,    50.89000,E-3,Am-1,40.000000,40.000000,    79.94000,E-3,Am-1,    34.16000,E-3,Am-1,40.000000,40.000000,   173.14000,E-3,Am-1,   999.00000,999,999,999.000000,999.000000,    13.42340,E-3,Am^2/kg,   999.00000,999,999,1.0,NA,   999.00000,999,999,   999.00000,NA,999.0,999.0,999.0,999.0000000000,999.0000000000,999,999,999.0000000000,999.0000000000,999,999,101,102;108;119,109,101,57,103,11/07/2014,AN,FUR-C00024
FUR,2,P2,59.3833,12.0800, 38,2, 79.80,-999.00,  1826,Y,2,40.000000,40.000000,130.40,77.00,999.00,3.20,999.00,101;104,999,1.53270,999.00000,999,999.00000,999.00000,999,999.00000,999.00000,999,999.00000,999.00000,999,102,     0.36667,E-6,m^3/kg,    59.82000,E-3,Am-1,40.000000,40.000000,    95.47000,E-3,Am-1,    39.03000,E-3,Am-1,40.000000,40.000000,   226.74000,E-3,Am-1,   999.00000,999,999,999.000000,999.000000,    16.91610,E-3,Am^2/kg,   999.00000,999,999,1.0,NA,   999.00000,999,999,   999.00000,NA,999.0,999.0,999.0,999.0000000000,999.0000000000,999,999,999.0000000000,999.0000000000,999,999,101,102;108;119,109,101,57,103,11/07/2014,AN,FUR-C00025
FUR,2,P2,59.3833,12.0800, 38,2, 82.80,-999.00,  1893,Y,2,40.000000,40.000000,131.00,76.40,999.00,4.00,999.00,101;104,999,1.54150,999.00000,999,999.00000,999.00000,999,999.00000,999.00000,999,999.00000,999.00000,999,102,     0.31884,E-6,m^3/kg,    56.99000,E-3,Am-1,40.000000,40.000000,    92.24000,E-3,Am-1,    36.97000,E-3,Am-1,40.000000,40.000000,   191.17000,E-3,Am-1,   999.00000,999,999,999.000000,999.000000,    14.01570,E-3,Am^2/kg,   999.00000,999,999,1.0,NA,   999.00000,999,999,   999.00000,NA,999.0,999.0,999.0,999.0000000000,999.0000000000,999,999,999.0000000000,999.0000000000,999,999,101,102;108;119,109,101,57,103,11/07/2014,AN,FUR-C00026
FUR,2,P2,59.3833,12.0800, 38,2, 85.70,-999.00,  1957,Y,2,40.000000,40.000000,135.10,75.40,999.00,8.30,999.00,101;104,999,1.46740,999.00000,999,999.00000,999.00000,999,999.00000,999.00000,999,999.00000,999.00000,999,102,     0.29577,E-6,m^3/kg,    54.50000,E-3,Am-1,40.000000,40.000000,    88.12000,E-3,Am-1,    37.14000,E-3,Am-1,40.000000,40.000000,   184.85000,E-3,Am-1,   999.00000,999,999,999.000000,999.000000,    13.90810,E-3,Am^2/kg,   999.00000,999,999,1.0,NA,   999.00000,999,999,   999.00000,NA,999.0,999.0,999.0,999.0000000000,999.0000000000,999,999,999.0000000000,999.0000000000,999,999,101,102;108;119,109,101,57,103,11/07/2014,AN,FUR-C00027
