bs_DI,bs_F,offsets,f_shallow,cal_fac,log_ml,optimizer_output,optimizer_args,max_lid,delta_t,optimizer
"[0.0, 0.0, 0.0, 0.0]",,"{'BIR2-1': 1.0342857142857145, 'BIR2-2': -6.88, 'BIR2-3': 6.103092783505154}",0.8141311457652579,,95140.02725891587,"   success: True
       fun: 95140.02725891587
         x: [ 0.000e+00  0.000e+00  0.000e+00  0.000e+00]
      nfev: 451
 nfev_lipo: 451","{'max_feval': 3500, 'rtol': 1e-08, 'max_opt': 70, 'n_rand': 300}",100,40,dlib
"[0.0021769117199395087, 0.000895629252649026, 0.0009983372249866185, 0.0027869965362706793]",,"{'BIR2-1': 0.7110562294506331, 'BIR2-2': -2.7876061227689863, 'BIR2-3': 6.852799132969271}",0.7412058260595369,,95101.17012874233,"       message: Optimization terminated successfully.
       success: True
        status: 0
           fun: 95101.17012874233
             x: [ 2.177e-03  8.956e-04  9.983e-04  2.787e-03  7.111e-01
                 -2.788e+00  6.853e+00  7.412e-01]
           nit: 332
          nfev: 529
 final_simplex: (array([[ 2.177e-03,  8.956e-04, ...,  6.853e+00,
                         7.412e-01],
                       [ 2.177e-03,  8.956e-04, ...,  6.853e+00,
                         7.412e-01],
                       ...,
                       [ 2.177e-03,  8.956e-04, ...,  6.853e+00,
                         7.412e-01],
                       [ 2.177e-03,  8.956e-04, ...,  6.853e+00,
                         7.412e-01]]), array([ 9.510e+04,  9.510e+04,  9.510e+04,  9.510e+04,
                        9.510e+04,  9.510e+04,  9.510e+04,  9.510e+04,
                        9.510e+04]))","{'options': {'maxiter': 3500, 'maxfun': 3500}, 'grad': False, 'method': 'Nelder-Mead'}",100,40,scipy
,"[0.0, 0.0, 0.0, 0.0]",,,55.07084200874253,95781.10345152445,"   success: True
       fun: 95781.10345152445
         x: [ 0.000e+00  0.000e+00  0.000e+00  0.000e+00]
      nfev: 473
 nfev_lipo: 473","{'max_feval': 3500, 'rtol': 1e-08, 'max_opt': 70, 'n_rand': 300}",100,40,dlib
,"[8.43494293936786e-05, 0.00021967600903096196, 8.418711960612847e-05, 4.477528871639516e-05]",,,53.946006690851284,95775.58360881585,"       message: Optimization terminated successfully.
       success: True
        status: 0
           fun: 95775.58360881585
             x: [ 8.435e-05  2.197e-04  8.419e-05  4.478e-05  5.395e+01]
           nit: 67
          nfev: 133
 final_simplex: (array([[ 8.435e-05,  2.197e-04, ...,  4.478e-05,
                         5.395e+01],
                       [ 8.431e-05,  2.196e-04, ...,  4.479e-05,
                         5.395e+01],
                       ...,
                       [ 8.430e-05,  2.196e-04, ...,  4.479e-05,
                         5.395e+01],
                       [ 8.431e-05,  2.195e-04, ...,  4.479e-05,
                         5.395e+01]]), array([ 9.578e+04,  9.578e+04,  9.578e+04,  9.578e+04,
                        9.578e+04,  9.578e+04]))","{'options': {'maxiter': 3500, 'maxfun': 3500}, 'grad': False, 'method': 'Nelder-Mead'}",100,40,scipy
"[0.0, 0.0]",,"{'BIR2-1': 1.0342857142857145, 'BIR2-2': -6.88, 'BIR2-3': 6.103092783505154}",0.8141311457652579,,95140.02725891587,"   success: True
       fun: 95140.02725891587
         x: [ 0.000e+00  0.000e+00]
      nfev: 443
 nfev_lipo: 443","{'max_feval': 3500, 'rtol': 1e-08, 'max_opt': 70, 'n_rand': 300}",100,40,dlib
"[0.001140048465522659, 0.0014314281599206535]",,"{'BIR2-1': 0.7110232986168319, 'BIR2-2': -2.7876370790054157, 'BIR2-3': 6.8528309924532405}",0.7412058252638072,,95101.17012874284,"       message: Optimization terminated successfully.
       success: True
        status: 0
           fun: 95101.17012874284
             x: [ 1.140e-03  1.431e-03  7.110e-01 -2.788e+00  6.853e+00
                  7.412e-01]
           nit: 237
          nfev: 394
 final_simplex: (array([[ 1.140e-03,  1.431e-03, ...,  6.853e+00,
                         7.412e-01],
                       [ 1.140e-03,  1.431e-03, ...,  6.853e+00,
                         7.412e-01],
                       ...,
                       [ 1.140e-03,  1.432e-03, ...,  6.853e+00,
                         7.412e-01],
                       [ 1.140e-03,  1.431e-03, ...,  6.853e+00,
                         7.412e-01]]), array([ 9.510e+04,  9.510e+04,  9.510e+04,  9.510e+04,
                        9.510e+04,  9.510e+04,  9.510e+04]))","{'options': {'maxiter': 3500, 'maxfun': 3500}, 'grad': False, 'method': 'Nelder-Mead'}",100,40,scipy
,"[0.0, 0.0]",,,55.579188242669375,95787.01380298435,"   success: True
       fun: 95787.01380298435
         x: [ 0.000e+00  0.000e+00]
      nfev: 443
 nfev_lipo: 443","{'max_feval': 3500, 'rtol': 1e-08, 'max_opt': 70, 'n_rand': 300}",100,40,dlib
,"[3.9317169401181406e-05, 0.0002186912419275901]",,,53.94593337482977,95775.58360881457,"       message: Optimization terminated successfully.
       success: True
        status: 0
           fun: 95775.58360881457
             x: [ 3.932e-05  2.187e-04  5.395e+01]
           nit: 46
          nfev: 92
 final_simplex: (array([[ 3.932e-05,  2.187e-04,  5.395e+01],
                       [ 3.931e-05,  2.187e-04,  5.395e+01],
                       [ 3.930e-05,  2.187e-04,  5.395e+01],
                       [ 3.931e-05,  2.187e-04,  5.395e+01]]), array([ 9.578e+04,  9.578e+04,  9.578e+04,  9.578e+04]))","{'options': {'maxiter': 3500, 'maxfun': 3500}, 'grad': False, 'method': 'Nelder-Mead'}",100,40,scipy
